x;y;distance_to_neighbour;km;qsim_id;comment
13.3120612;52.5351372;0.027168953;0;CVK_S308.CVK_0;Oh Abzweig WHK
13.3120801;52.5350605;0.008633584;0;;
13.3124394;52.534004;0.120099185;0.2;;
13.31251;52.5338018;0.023010885;0.2;;
13.3129486;52.5325291;0.144755931;0.3;;
13.3131293;52.532043;0.055478684;0.4;;
13.3134694;52.5309757;0.12102294;0.5;;
13.3137876;52.530211;0.087811015;0.6;CVK_S308.CVK_0.6;
13.3141213;52.5293354;0.100056769;0.7;;
13.3142419;52.5290438;0.033472459;0.7;;
13.3152719;52.5261718;0.327231018;1;;
13.315392;52.5257818;0.044170009;1.1;CVK_S308.CVK_1.1;
13.3155508;52.5252319;0.062152226;1.2;CVK_S308.CVK_1.3;
13.3163311;52.5229965;0.254393812;1.4;;
13.316867;52.5217086;0.14789194;1.6;CVK_S308.CVK_1.52;
13.3170693;52.5211424;0.064501378;1.6;;
13.317309;52.5206209;0.060280785;1.7;CVK_S308.CVK_1.65;
