x;y;distance_to_neighbour;km;qsim_id;comment;OSM_comment
13.2947583;52.5300852;;0;WHK_S312.WHK_0;Oh Abzweig Spree;
13.2946654;52.5325657;0.051432311;0.1;;;
13.295392;52.532758;0.053657954;0.2;;;
13.297183;52.5331948;0.130664013;0.3;WHK_S312.WHK_0.3;;
13.2990043;52.5335765;0.130444707;0.4;WHK_S312.WHK_0.4;;
13.3023329;52.5340693;0.231975537;0.6;;;
13.3052598;52.53449;0.203650546;0.8;WHK_S312.WHK_0.8;;
13.3066973;52.5346943;0.09995995;0.9;;;
13.3095427;52.5350874;0.197578084;1.1;;;
13.3106436;52.5352177;0.075943109;1.2;WHK_S312.WHK_1.3;;
13.3119674;52.5353745;0.091321587;1.3;WHK_S312.WHK_1.4;Uh Zulauf CVK;
13.3123132;52.5354208;0.02397551;1.3;WHK_S311.WHK_1.4;Oh Zulauf CVK;Zulauf CVK
13.314199;52.5357008;0.131440823;1.5;WHK_S311.WHK_1.5;;
13.3176751;52.5362098;0.2420963;1.7;;;
13.3207791;52.5366563;0.215971762;1.9;;;
13.3210846;52.5366988;0.021219683;1.9;;;
13.3252854;52.5372552;0.291101828;2.2;;;
13.3264655;52.5374172;0.081913691;2.3;WHK_S311.WHK_2.3;;
13.3273274;52.5375317;0.059734308;2.4;;;
13.3278135;52.5376353;0.0348754;2.4;;;
13.3290452;52.5378978;0.088368166;2.5;;;
13.3298745;52.5381615;0.063360858;2.6;;;
13.3305283;52.5384547;0.054999126;2.6;;;
13.3305283;52.5384547;0;2.6;;;
13.3326097;52.5395249;0.184534096;2.8;WHK_S311.WHK_2.8;;
13.3349485;52.5405689;0.196420339;3;WHK_S311.WHK_3.05;Zulauf BSSK;Zulauf BSSK
