x;y;distance_to_neighbour;km;qsim_id;comment
13.3655011;52.5363307;0;0;VB_S308.Nordhafen.Vorbecken_0;Oh Zufluss BSSK
13.3660195;52.5364716;0.038446322;0;VB_S308.Nordhafen.Vorbecken_0.035;
13.3660195;52.5364716;0;0;VB_S308.Nordhafen.Vorbecken_0.081;
13.3662429;52.5365198;0.016050018;0.1;VB_S308.Nordhafen.Vorbecken_0.114;
13.3674426;52.5368368;0.088566019;0.1;Pa_Panke.1_0.126;
13.3675535;52.536898;0.010139011;0.2;Pa_Panke.1_0.199;
13.3675535;52.536898;0;0.2;;
13.3681101;52.5371643;0.047949191;0.2;Pa_Panke.1_0.254;
13.3699912;52.5380958;0.164240432;0.4;;
13.3699912;52.5380958;0;0.4;Pa_Panke.1_0.404;
13.3716509;52.5389318;0.145906599;0.5;;
13.3716509;52.5389318;0;0.5;;
13.3719854;52.5391113;0.030202707;0.5;;
13.3719854;52.5391113;0;0.5;;
13.3719892;52.5391134;0.000347627;0.5;;
13.3720164;52.5391284;0.002485916;0.5;Pa_Panke.1_0.543;
13.3724177;52.5393531;0.036931252;0.6;;
13.3724177;52.5393531;0;0.6;;
13.3725701;52.5394384;0.014022683;0.6;;
13.3725701;52.5394384;0;0.6;;
13.3725792;52.5394436;0.000845395;0.6;Pa_Panke.1_0.609;
13.3728647;52.5396051;0.026398184;0.6;;
13.3729322;52.5396546;0.007158899;0.6;;
13.3730029;52.5397208;0.008787536;0.6;a_Panke.1_0.6485;
13.3730259;52.5399127;0.021418893;0.7;;
13.3730259;52.5399127;0;0.7;Pa_Panke.1_0.702;
13.3730709;52.5402829;0.041322946;0.7;;
13.3730709;52.5402829;0;0.7;;
13.3730553;52.5405893;0.034124641;0.7;Pa_Panke.1_0.748;
13.3731486;52.5408993;0.035082417;0.8;Pa_Panke.1_0.825;
13.373264;52.5417279;0.09256963;0.9;Pa_Panke.1_0.868;
13.3733374;52.5419869;0.029256867;0.9;Pa2_Panke.2_0.8964;
13.3733754;52.5423718;0.042924039;0.9;Pa2_Panke.2_0.92;
13.3733291;52.5429649;0.066097957;1;Pa2_Panke.2_0.988;
13.37337;52.5430849;0.0136423;1;Pa2_Panke.2_1.048;
13.3739872;52.5438128;0.091168599;1.1;Pa2_Panke.2_1.092;
13.3740791;52.54395;0.016491619;1.1;Pa2_Panke.2_1.13;
13.3744494;52.5444842;0.064534933;1.2;Pa2_Panke.2_1.1621;
13.3744868;52.54458;0.010960848;1.2;;
13.3744961;52.544675;0.010594076;1.2;Pa2_Panke.2_1.2;
13.3744851;52.5447861;0.012389994;1.2;;
13.3744978;52.5449467;0.017898572;1.2;Pa2_Panke.2_1.232;
13.3745673;52.5451165;0.019478817;1.3;"Pa2_Panke.2_1.263""";
13.3745704;52.545193;0.008518527;1.3;;
13.3745647;52.5452478;0.0061125;1.3;;
13.3745319;52.5453196;0.008295442;1.3;;
13.3744426;52.5454131;0.012036629;1.3;;
13.3742984;52.5454826;0.012455973;1.3;;
13.374104;52.545548;0.015039789;1.3;;
13.3740296;52.5455916;0.006994603;1.3;;
13.3740296;52.5455916;0;1.3;Pa2_Panke.2_1.3248;
13.373745;52.545826;0.0324354;1.4;Pa2_Panke.2_1.374;
13.373745;52.545826;0;1.4;;
13.3735834;52.545936;0.016420139;1.4;;
13.3732736;52.5461076;0.028367893;1.4;;
13.3728368;52.5463662;0.041268133;1.4;Pa2_Panke.2_1.4365;
13.3722328;52.5466942;0.054817952;1.5;;
13.3720902;52.546796;0.014886495;1.5;;
13.3719942;52.5469512;0.018458611;1.5;Pa2_Panke.2_1.502;
13.3719611;52.5471106;0.01788524;1.6;Pa2_Panke.2_1.557;
13.3719517;52.5472476;0.01526404;1.6;Pa2_Panke.2_1.597;
13.37198;52.5476162;0.041077061;1.6;Pa2_Panke.2_1.634;
13.3720751;52.5480469;0.048375565;1.7;;
13.372071;52.548149;0.011369108;1.7;Pa2_Panke.2_1.6895;
13.3720467;52.5482486;0.011208778;1.7;;
13.3720467;52.5483347;0.009584608;1.7;;
13.3720783;52.5484248;0.010255451;1.7;;
13.3733855;52.5500181;0.198212531;1.9;Pa2_Panke.2_1.9384;
13.373745;52.5504684;0.055721588;2;Pa2_Panke.2_1.994;
13.3741891;52.5510139;0.067757936;2;Pa2_Panke.2_2.038;
13.3745099;52.5513634;0.044555604;2.1;;
