x;y;distance_to_neighbour;km;qsim_id;comment
13.2810478;52.53018;0;0;WHK_S312.WHK_0;Oh Abzweig Spree
13.2819445;52.5303408;0.063308161;0.1;;
13.2831214;52.5305549;0.083187055;0.1;;
13.2834869;52.5306165;0.025683933;0.2;;
13.2845757;52.5307907;0.076240582;0.2;;
13.2847614;52.5308188;0.012958721;0.3;WHK_S312.WHK_0.3;
13.2852181;52.530889;0.03189948;0.3;;
13.2872223;52.531217;0.140548333;0.4;WHK_S312.WHK_0.4;
13.2883578;52.5313803;0.079014202;0.5;;
13.2914536;52.5317979;0.214734618;0.7;;
13.2919345;52.5318295;0.032755007;0.8;WHK_S312.WHK_0.8;
13.2924128;52.5318128;0.032442804;0.8;;
13.2924128;52.5318128;0;0.8;;
13.2924128;52.5318128;0;0.8;;
13.2933636;52.5316415;0.067150816;0.9;;
13.2942219;52.5312499;0.07265388;0.9;;
13.2947424;52.5309425;0.049126241;1;;
13.2939858;52.5323594;0.165841472;1.1;;
13.2946654;52.5325657;0.051432311;1.2;WHK_S312.WHK_1.3;
13.295392;52.532758;0.053657954;1.3;WHK_S312.WHK_1.4;Uh Zulauf CVK
13.297183;52.5331948;0.130664013;1.4;WHK_S311.WHK_1.4;Oh Zulauf CVK
13.2990043;52.5335765;0.130444707;1.5;WHK_S311.WHK_1.5;
13.3023329;52.5340693;0.231975537;1.7;;
13.3052598;52.53449;0.203650546;1.9;;
13.3066973;52.5346943;0.09995995;2;;
13.3095427;52.5350874;0.197578084;2.2;;
13.3106436;52.5352177;0.075943109;2.3;WHK_S311.WHK_2.3;
13.3119674;52.5353745;0.091321587;2.4;;
13.3123132;52.5354208;0.02397551;2.4;;
13.314199;52.5357008;0.131440823;2.6;;
13.3176751;52.5362098;0.2420963;2.8;WHK_S311.WHK_2.8;
13.3207791;52.5366563;0.215971762;3;;
13.3210846;52.5366988;0.021219683;3;WHK_S311.WHK_3.05;
13.3252854;52.5372552;0.291101828;3.3;;
13.3264655;52.5374172;0.081913691;3.4;;
13.3273274;52.5375317;0.059734308;3.5;;
13.3278135;52.5376353;0.0348754;3.5;;
13.3290452;52.5378978;0.088368166;3.6;;
13.3298745;52.5381615;0.063360858;3.7;;
13.3305283;52.5384547;0.054999126;3.7;;
13.3305283;52.5384547;0;3.7;;
13.3326097;52.5395249;0.184534096;3.9;;
13.3349485;52.5405689;0.196420339;4.1;;
