x;y;distance_to_neighbour;km;qsim_id;comment
13.3929723;52.5223861;0;0;Spk_S302.SpK_0;Oh Abzweig Spree
13.3936499;52.5218932;0.071533719;0.1;Spk_S302.SpK_0.02;
13.393955;52.5216756;0.031840559;0.1;;
13.3947774;52.5211007;0.084845024;0.2;;
13.3949251;52.5209939;0.015538159;0.2;Spk_S302.SpK_0.282;
13.3956319;52.5205011;0.072811084;0.3;;
13.3964453;52.5199257;0.084489193;0.4;Spk_S302.SpK_0.347;
13.3971484;52.5195869;0.06075047;0.4;Spk_S302.SpK_0.402;
13.3974557;52.5193561;0.033066522;0.5;;
13.3974557;52.5193561;0;0.5;Spk_S302.SpK_0.578;
13.3977353;52.5190092;0.043011073;0.5;;
13.3981373;52.5184808;0.064818578;0.6;Spk_S302.SpK_0.602;
13.3985876;52.5176206;0.100497952;0.7;Spk_S302.SpK_0.721;
13.398643;52.5171907;0.048003168;0.7;Spk_S302.SpK_0.863;
13.3996632;52.5160077;0.148723478;0.9;Spk_S302.SpK_0.883;Uh Schleuse
13.3996632;52.5160077;0;0.9;SpK_S125.SpK_0.9;Oh Schleuse
13.3997923;52.515852;0.019413869;0.9;SpK_S125.SpK_0.93;
13.3998703;52.5157389;0.01365408;0.9;;
13.4002693;52.5150981;0.076282824;1;;
13.4005365;52.5148079;0.037030536;1;;
13.4014357;52.5137676;0.130850094;1.1;;
13.4026298;52.5125725;0.155702627;1.3;;
13.4027382;52.5124631;0.014221267;1.3;;
13.4030251;52.5121527;0.039645211;1.3;SpK_S125.SpK_1.31;
13.4032939;52.5118987;0.033632083;1.4;;
13.4033423;52.5118502;0.006316743;1.4;;
13.4033423;52.5118502;0;1.4;;
13.4034882;52.5117092;0.018549135;1.4;;
13.4037285;52.5115786;0.021826694;1.4;;
13.4039088;52.5115263;0.013531683;1.4;SpK_S125.SpK_1.35;
13.4042521;52.5114845;0.023719224;1.5;SpK_S125.SpK_1.42;
13.4047756;52.5114637;0.035542273;1.5;;
13.4054451;52.5115263;0.04589034;1.5;;
13.4057735;52.5115722;0.022828021;1.6;;
13.4061575;52.5116308;0.026821047;1.6;;
13.4072647;52.5119442;0.08272767;1.7;;
13.4082037;52.5123844;0.080300841;1.8;;
13.4087362;52.512601;0.043391631;1.8;;
13.4099224;52.5130305;0.093509245;1.9;SpK_S125.SpK_1.8;
13.4102431;52.513177;0.027166108;1.9;;
13.4106614;52.5134249;0.039555123;2;;
13.4113865;52.5139004;0.072214054;2;SpK_S125.SpK_1.89;
13.4118627;52.514062;0.036937041;2.1;;
13.4127267;52.5142181;0.061056846;2.1;SpK_S125.SpK_1.91;Uh Abzwei Spreeg
