x;y;distance_to_neighbour;km;qsim_id;comment
13.2072617;52.5356042;0;0;;
13.2080262;52.5359674;0.065683886;0.1;;
13.2083743;52.5360839;0.026902596;0.1;;
13.2086283;52.5361641;0.019377834;0.1;;
13.2088756;52.5361882;0.01695854;0.1;;
13.2096736;52.5362882;0.055168274;0.2;SOW_S502.SOW_0.2;Oh Zufluss Havel
13.2109928;52.5363584;0.089665548;0.3;SOW_S502.SOW_0.3;
13.211476;52.5363665;0.032730353;0.3;SOW_S502.SOW_0.4;Uh Altarm Ruhleben
13.2128493;52.5364448;0.093394981;0.4;SOW_S501.SOW_0.4;Oh Altarm Ruhleben
13.2137885;52.5364825;0.063732304;0.5;SOW_S501.SOW_0.5;
13.2162716;52.5363181;0.16912599;0.6;SOW_S501.SOW_0.6;
13.2175473;52.5362211;0.087051337;0.7;SOW_S501.SOW_0.7;
13.2191333;52.5360919;0.108348894;0.8;SOW_S501.SOW_0.8;
13.2215299;52.5358208;0.165059874;1;SOW_S501.SOW_1;
13.2260623;52.5352426;0.313575809;1.3;SOW_S501.SOW_1.3;
13.2312765;52.5343681;0.36624569;1.7;;
13.2316447;52.5343011;0.026024;1.7;SOW_S501.SOW_1.7;
13.2357878;52.5334706;0.295389457;2;;
13.236551;52.5333038;0.054914915;2;SOW_S501.SOW_2;
13.2373882;52.5330652;0.062605333;2.1;SOW_S501.SOW_2.1;
13.2381215;52.5327626;0.06000375;2.2;SOW_S501.SOW_2.2;
13.2399025;52.5319795;0.148811027;2.3;SOW_S501.SOW_2.3;
13.2421291;52.5309641;0.188445886;2.5;SOW_S501.SOW_2.5;
13.2423916;52.5308438;0.022256159;2.5;;
13.2426722;52.5307114;0.024048065;2.6;SOW_S501.SOW_2.6;
13.2442507;52.5299283;0.137935517;2.7;SOW_S501.SOW_2.7;
13.2462111;52.5289902;0.168911132;2.9;SOW_S501.SOW_2.9;
13.2474345;52.5284805;0.100418245;3;SOW_S501.SOW_3.0;
13.247836;52.5283146;0.03286955;3;;
13.2485929;52.5280242;0.060602246;3.1;SOW_S501.SOW_3.1;
13.2495393;52.527765;0.070289366;3.1;;
13.2501585;52.5276314;0.044494045;3.2;;
13.2506895;52.5275573;0.036895605;3.2;SOW_S501.SOW_3.2;
13.2516099;52.5274629;0.063213312;3.3;SOW_S501.SOW_3.3;
13.2526583;52.5274086;0.071259426;3.3;SOW_S501.SOW_3.4;
13.2544937;52.5273845;0.124331001;3.5;SOW_S501.SOW_3.5;
13.2563633;52.5274273;0.126707822;3.6;SOW_S501.SOW_3.6;
13.2576906;52.5274897;0.090158958;3.7;SOW_S501.SOW_3.7;
13.2583037;52.527546;0.041992271;3.7;;
13.2588925;52.5276456;0.041388883;3.8;SOW_S501.SOW_3.8;
13.2606091;52.5280242;0.123658874;3.9;SOW_S501.SOW_3.9;
13.262088;52.5284059;0.108796785;4;SOW_S501.SOW_4;
13.2637849;52.5287552;0.121319211;4.1;SOW_S501.SOW_4.1;
13.2645319;52.5288789;0.052429407;4.2;SOW_S501.SOW_4.2;
13.2649396;52.5289227;0.028037654;4.2;;
13.2660809;52.5290033;0.077810562;4.3;SOW_S501.SOW_4.3;
13.2673099;52.5291056;0.084006072;4.4;;
13.2684366;52.529185;0.076812695;4.4;SOW_S501.SOW_4.4;
