x;y;distance_to_neighbour;km;qsim_id;comment
13.2277449;52.5620006;0;0;;
13.2316444;52.5602807;0.326027838;0.3;;
13.2367058;52.5577676;0.442260568;0.8;;
13.2373823;52.5574217;0.059823651;0.8;;
13.2386365;52.5567928;0.11002886;0.9;;
13.2464048;52.5528995;0.681379262;1.6;;
13.2478144;52.5522195;0.121791499;1.7;;
13.2489923;52.5516933;0.098933322;1.8;;
13.251554;52.5505565;0.214664508;2.1;;
13.2534423;52.5498781;0.148460912;2.2;;
13.2552447;52.5495127;0.128607176;2.3;;
13.2564024;52.5493403;0.080681389;2.4;;
13.2575622;52.5492518;0.079123747;2.5;;
13.26018;52.5491474;0.177582592;2.7;;
13.2609603;52.5491248;0.052879363;2.7;;
13.266434;52.5490195;0.370707503;3.1;;
13.2704111;52.5489917;0.269233453;3.4;;
13.2711985;52.5489856;0.053304594;3.4;;
13.2757313;52.5488877;0.30702577;3.7;;
13.2763412;52.548875;0.041309332;3.8;;
13.280436;52.5487898;0.277346262;4;;
13.283754;52.5487376;0.224676627;4.3;;
13.2904969;52.5486264;0.456607871;4.7;;
13.2932999;52.5485813;0.189807281;4.9;;
13.296453;52.5485254;0.213530803;5.1;;
13.2989218;52.5484834;0.16718395;5.3;;
13.3009228;52.5484433;0.135525801;5.4;;
13.3039751;52.5483921;0.206695978;5.6;;
13.3052718;52.5483478;0.087915195;5.7;;
13.315176;52.5479354;0.672012788;6.4;;
13.3169988;52.5478877;0.123505251;6.5;;
13.3177114;52.5477075;0.05224293;6.6;;
13.318398;52.5473027;0.064736776;6.6;;
13.3191242;52.5468328;0.071783778;6.7;;
13.3192986;52.5467008;0.018849407;6.7;;
13.3225768;52.5441601;0.359503591;7.1;;
13.3225768;52.5441601;0;7.1;;
13.3225768;52.5441601;0;7.1;;
13.3230543;52.5435843;0.071788038;7.2;;
13.3230543;52.5435843;0;7.2;;
13.3234124;52.5437459;0.03018854;7.2;;
13.3234124;52.5437459;0;7.2;;
13.3240654;52.5432178;0.073555166;7.3;;
13.3240654;52.5432178;0;7.3;;
13.3237077;52.5430512;0.030502216;7.3;;
13.3237077;52.5430512;0;7.3;;
13.3256374;52.5418079;0.190324271;7.5;BSSK_S310.BSSK_7.45;
13.3256374;52.5418079;0;7.5;;
13.3256374;52.5418079;0;7.5;;
13.3262029;52.5415065;0.050907055;7.5;;
13.3267701;52.5412878;0.04546826;7.6;;
13.3279505;52.5408915;0.091285292;7.7;;
13.3279505;52.5408915;0;7.7;;
13.3284441;52.5408493;0.033747256;7.7;;
13.3292397;52.5408766;0.053950971;7.8;;
13.3308302;52.5409577;0.108060879;7.9;;
13.3318142;52.5410095;0.06686965;7.9;;
13.3327384;52.5409996;0.062581548;8;BSSK_S310.BSSK_8.025;
13.3336385;52.5408999;0.061942658;8.1;;
13.3341067;52.5408481;0.032219217;8.1;;
13.3344326;52.5407579;0.024242029;8.1;;
13.3349485;52.5405689;0.040775811;8.2;;
