x;y;distance_to_neighbour;km;qsim_id;comment
13.4516076;52.4996706;0;0;Lwk_S313.LwK_0;Oh Abweig Spree
13.4506721;52.4989287;0.104115091;0.1;Lwk_S313.LwK_0.1;
13.4504993;52.4988033;0.018220897;0.1;;
13.4496935;52.4981625;0.089836326;0.2;Lwk_S313.LwK_0.18;
13.4496935;52.4981625;0;0.2;;
13.4491438;52.4978203;0.053281517;0.3;;
13.4491438;52.4978203;0;0.3;;
13.4488707;52.497676;0.024506802;0.3;;
13.4488707;52.497676;0;0.3;;
13.4490032;52.4976112;0.011518161;0.3;;
13.4490032;52.4976112;0;0.3;;
13.4486904;52.4973767;0.03362777;0.3;;
13.4485674;52.4974466;0.011403232;0.3;Lwk_S313.LwK_0.35;
13.4480561;52.4969954;0.061020579;0.4;;
13.4480561;52.4969954;0;0.4;;
13.4476861;52.4966691;0.044138261;0.5;Lwk_S313.LwK_0.55;
13.446057;52.4953922;0.179986303;0.6;Lwk_S313.LwK_0.61;
13.4453369;52.4948413;0.078375639;0.7;;
13.4444619;52.4941702;0.095383296;0.8;;
13.4440102;52.4938178;0.049761066;0.9;;
13.4433337;52.49329;0.074527891;0.9;Lwk_S313.LwK_0.9;
13.4408646;52.4914496;0.264536535;1.2;Lwk_S313.LwK_1.17;
13.4400201;52.4909657;0.078601551;1.3;Lwk_S313.LwK_1.2;
13.4390846;52.4906314;0.073522989;1.3;Lwk_S313.LwK_1.25;
13.4390846;52.4906314;0;1.3;;
13.438222;52.4906388;0.058474078;1.4;;
13.4373734;52.4907899;0.059928182;1.5;Lwk_S313.LwK_1.55;
13.437276;52.4908195;0.007378504;1.5;Lwk_S313.LwK_1.6;Uh Unterschleuse
13.4353901;52.4914058;0.143525738;1.6;Lwk_S203.Lwk_1.67;Oh Unterschleuse
13.4327941;52.4922555;0.199768325;1.8;;
13.4284331;52.4936619;0.33448177;2.1;Lwk_S203.Lwk_2.26;
13.4224;52.4955908;0.461845966;2.6;;
13.4211458;52.4958898;0.091286009;2.7;Lwk_S203.Lwk_2.65;
13.4204265;52.4959964;0.050172829;2.8;;
13.4200517;52.496016;0.025494917;2.8;;
13.4193989;52.4960384;0.044312517;2.8;;
13.4185525;52.4960032;0.057496868;2.9;;
13.4181443;52.4959002;0.029946979;2.9;;
13.4170397;52.4955295;0.085482884;3;;
13.416398;52.495351;0.04781496;3;Lwk_S203.Lwk_3;
13.4156558;52.4952644;0.051217482;3.1;;
13.4151487;52.4952239;0.034662816;3.1;;
13.4141088;52.4952003;0.070527538;3.2;;
13.4128633;52.4952544;0.084627535;3.3;Lwk_S203.Lwk_3.34;
13.4056134;52.4964537;0.509164921;3.8;Lwk_S203.Lwk_3.7;
13.4051863;52.4965334;0.030274792;3.8;;
13.4051582;52.4965377;0.001963639;3.8;;
13.4046181;52.4965956;0.03716696;3.9;;
13.4039152;52.4966413;0.04790797;3.9;;
13.403084;52.4966817;0.056511455;4;;
13.402297;52.4967463;0.053819229;4;;
13.4016073;52.4968082;0.047247511;4.1;;
13.4009;52.4968997;0.049005275;4.1;;
13.4003827;52.4969751;0.036049082;4.2;Lwk_S203.Lwk_4.15;
13.3998256;52.4970774;0.039435621;4.2;;
13.3992067;52.4972119;0.044535954;4.2;;
13.3989938;52.4972671;0.015682497;4.3;;
13.3988243;52.4973181;0.012813579;4.3;;
13.3980513;52.4975203;0.057017904;4.3;;
13.3975001;52.4976372;0.039557024;4.4;;
13.3969475;52.4977314;0.038890444;4.4;;
13.3964249;52.4978025;0.036290451;4.4;;
13.3957507;52.4978706;0.046315393;4.5;;
